,Siemens2,Siemens3,GE2,GE3,Philips2,Philips3,Additional2,Additional3
Large Mass,0.9949193538354041,0.7633818861261401,0.9798052685509471,0.9487657897948584,0.9934363315068816,0.989900254462969,0.9950023192851626,0.968767286976177
Medium Mass,0.9692823132369127,0.74647643513326,0.8873296355276588,0.8478803549333633,0.9589442418628252,0.9567706164318938,0.960587011007029,0.9497077409317728
Small Mass,0.22872789558802253,0.22435687148464167,0.5529347525266107,0.5457865133743593,0.6551434885011886,0.6425726877538139,0.7395443236315771,0.7205879143955299
Volume,0.7332296077049183,0.5768982937670868,0.7282889768405689,0.7953698486358789,0.09602822441748737,0.2262793722011759,0.647471923391861,0.6183012296423085
