,Siemens2,Siemens3,GE2,GE3,Philips2,Philips3,Additional2,Additional3
Large Mass,2.2821549956820384,26.62735201675604,10.433625422207493,8.008094021438417,3.723017687595602,7.964054485262763,3.833551381426812,9.586095634053539
Medium Mass,0.9873221237496169,5.877496852922334,1.8348330141812896,2.236316354033776,1.791699564395865,1.2669460817578138,1.183342440065064,2.34978655861375
Small Mass,0.2885367939026464,0.2881012873803673,0.2701719761371993,0.24464089029727148,0.2575647808781413,0.28272814695331155,0.15108074038716893,0.21779699277879802
Volume,4.165675351824903,25.428963478546123,12.081900322234713,18.706317777051016,3.9297386005823003,8.498349808606775,4.341071028284056,11.028250699999575
